performances/date,performances/project,performances/venue,performances/notes
01-21-23,Null Copula,Dirty Dungarees,"w/ mASScOMM, Fatal Gaze, TUSK"
03-04-23,Null Copula,Skeleton Dust Records,
04-01-23,Turtle Boat,Dirty Dungarees,"w/ BAND, Mimete"
05-06-23,Turtle Boat,Dick's Den,
05-18-23,Gault,Dick's Den,
05-27-23,Gault,Cultural Arts Center (Fuse Factory),
07-01-23,Gault,Dick's Den,
07-11-23,Null Copula,Dirty Dungarees,"w/ Demon Life, Leslie Keffer / Rodger Stella, Tim Gick, Violeer"
07-16-23,Null Copula,DSGN CLLCTV (Cincinnati),"w/ Outdoor Horse Shrine, KBD, 10 Ton Fog"
08-07-23,Null Copula,Dirty Dungarees,"S.T.A.T.I.C 5 w/ Heldig, Troy Kunkler, Doug Leed, David Reed, Reek"
08-17-23,Gault,Land Grant,
08-26-23,"Ensemble w/ Alex Burgoyne, Krista Faist, Eli Chambers",Cultural Arts Center (Fuse Factory),
09-01-23,Turtle Boat,Cultural Arts Center (Fuse Factory),"w/ Galaxxu into the Parhelion of Imagined Truths, Mimete"
09-07-23,Turtle Boat,Dirty Dungarees,"w/ Adam Arritola, Troy Kunkler"
09-27-23,Null Copula,Dirty Dungarees,"w/ sobbing., Tusk, Harvester"
09-28-23,Duo w/ Rachel Azbell,Grandview Heights Public Library,
10-14-23,Null Copula,Babaluma,"w/ Alex C, VEND"
10-21-23,Null Copula,Cultural Arts Center (Fuse Factory),w/ Jaap Blonk & TBA
11-15-23,Abhi C. & Ishmael Ali Duo,DSGN CLLCTV (Cincinnati),"w/ Exclusion Zone, Material Body Dysfunction, OhrStreicheln"
11-16-23,Abhi C. & Ishmael Ali Duo,Dirty Dungarees,"w/ Outdoor Horse Shrine, Blading, Jeanne Le Feu"
11-17-23,Abhi C. & Ishmael Ali Duo,Pittsburgh Sound Preserve (PGH),"w/ Farrah Faucet, Eli Namay"
11-30-23,Gault,Dick's Den,
12-18-23,Null Copula + Fatal Gaze Collaboration for S.T.A.T.I.C,Dirty Dungarees,"w/ dvvidw, Karl Vorndran, Violeer, Eve Lenker + Esther Brodess"
02-01-24,Gault,Dick's Den,
02-26-24,Collaboration w/ Drew Sherrick & dvvidw for S.T.A.T.I.C 11,Dirty Dungarees,
03-11-24,Jazz Academy Jam Session Celebrating Women in Jazz,Jazz Arts Group,
03-16-24,She Sings: Celebrating Women in Jazz,Natalie's Grandview,
03-25-24,Collaboration w/ VIOLEER for S.T.A.T.I.C 12,Dirty Dungarees,
03-28-24,Gault,Dick's Den,
03-29-24,Null Copula,DSGN CLLCTV (Cincinnati),"w/ Jacob Winans, $5000, Final Machine"
04-04-24,Turtle Boat,Long Street Studio,"""Fear is Heavy, I've Got Plans ..."" release"
04-04-24,Turtle Boat,Capital University Jazz & World Music Festival,
04-05-24,Turtle Boat,Dirty Dungarees,w/ Molotov Trio
04-11-24,Ensemble w/ Nadje Noordhuis,Natalie's Grandview,
04-22-24,Gault,Dirty Dungarees,"w/ Gían Pérez, Mimete"
04-24-24,Null Copula,Dirty Dungarees,"w/ Blading, Moral Failing, HXXXRVESTER, sobbing."
05-19-24,Duo w/ Billy Wolfe,Old First Presbyterian Church,"w/ Battalion of Cloudships, Adams/Maerbach/Bucko Jr."
06-01-24,Gault,Dick's Den,
06-07-24,Null Copula,CAVE Akron,"w/ DicqBeats, Valley Girls, v bizy"
07-18-24,Gault,Dick's Den,
08-12-24,Null Copula,Babaluma,"w/ Melon Sprout, Farrah Faucet, Moral Failing"
08-14-24,Turtle Boat,Granville Center for the Arts,"in support of Decomposition"" by Emily Morgan"""
09-05-24,Null Copula,Dirty Dungarees,"w/ Bit Rot, R6 Implant, Blading"
09-22-24,"Trio w/ Troy Kunkler, Alex Burgoyne",Old First Presbyterian Church,w/ Larvavision
09-26-24,Gault,Dick's Den,
10-04-24,Null Copula,Needle Exchange Records and Tapes,"w/ Healing Factor (NC), Anther Gash (NC), Violeer + Moral Failing"
10-10-24,Gault,Grandview Heights Public Library,
10-27-24,Null Copula,"Rubber Gloves (Denton, TX)","w/ T.E.F., Scathing, Struggle Session, Daniel Ryan, VVVLA, Reece McLean, Metal Negress"
